vid,rally_idx,shot_idx,player_id,shot_type,start_ms,end_ms,depth,height_over_net
u7bnntb4jhok,0,0,2,unknown,1233,2000,34.789,3.645
u7bnntb4jhok,0,1,0,unknown,2600,3133,18.233,
u7bnntb4jhok,1,0,3,unknown,16466,17300,38.506,3.946
u7bnntb4jhok,2,0,0,unknown,26133,26833,32.291,3.151
u7bnntb4jhok,2,1,3,unknown,27400,28466,39.373,4.807
u7bnntb4jhok,2,2,1,drop,28900,30333,18.739,
u7bnntb4jhok,3,0,1,unknown,38066,38866,35.836,4.232
u7bnntb4jhok,3,1,2,unknown,39333,40466,40.847,5.812
u7bnntb4jhok,3,2,1,drop,40900,41800,21.492,
u7bnntb4jhok,4,0,3,unknown,51033,51866,40.571,4.759
u7bnntb4jhok,4,1,0,unknown,52233,53200,24.149,4.822
u7bnntb4jhok,4,2,3,drop,53533,54500,24.741,4.827
u7bnntb4jhok,4,3,1,drive,54500,55166,19.559,4.197
u7bnntb4jhok,4,4,3,drop,55166,55933,20.465,4.86
u7bnntb4jhok,4,5,1,drive,55933,56600,18.864,3.208
u7bnntb4jhok,4,6,3,drive,56666,57366,19.476,4.621
u7bnntb4jhok,4,7,1,smash,57366,57800,22.192,3
u7bnntb4jhok,5,0,2,unknown,69333,70233,39.388,4.874
u7bnntb4jhok,5,1,1,unknown,70600,71833,39.035,6.752
u7bnntb4jhok,5,2,2,drop,72266,73300,27.095,4.622
u7bnntb4jhok,5,3,1,dink,73300,73433,5.996,
u7bnntb4jhok,6,0,2,unknown,83933,84666,35.989,3.974
u7bnntb4jhok,6,1,0,unknown,85266,86166,35.765,3.014
u7bnntb4jhok,6,2,3,drop,86566,87333,18.008,
u7bnntb4jhok,7,0,0,unknown,96500,97366,40.207,3.968
u7bnntb4jhok,7,1,2,unknown,97633,99000,44.23,7.553
u7bnntb4jhok,7,2,1,drop,99600,100366,29.387,3.604
u7bnntb4jhok,7,3,2,drive,100366,100966,16.795,3.431
u7bnntb4jhok,7,4,0,drop,100966,101866,18.625,3.707
u7bnntb4jhok,7,5,2,dink,102233,103166,15.804,4.122
u7bnntb4jhok,7,6,0,dink,103666,104400,16.155,3.787
u7bnntb4jhok,7,7,2,drive,104400,104800,12.15,3.762
u7bnntb4jhok,7,8,1,smash,104800,105033,12.56,4.07
u7bnntb4jhok,7,9,2,drive,105033,105600,12.167,5.811
u7bnntb4jhok,7,10,1,smash,105600,105933,18.839,3.706
u7bnntb4jhok,8,0,0,unknown,117033,117933,40.551,4.854
u7bnntb4jhok,8,1,3,unknown,118366,119466,47.664,6.45
u7bnntb4jhok,8,2,1,drop,119866,121166,29.301,3
u7bnntb4jhok,8,3,3,dink,121433,122233,17.67,4.012
